Timestamp,What is your Faculty?,Year of Study?,On average how many days a week do you use the Open Area?,How long do you plan to be in the Open Area today?,What activities are you doing in the Open Area today?,Thermal Comfort,Noise Level,Lighting Conditions,Occupancy Level,Weather Conditions(Rain/Breeze),What are the top reasons you chose to sit here today?,Are you currently using an electronic device (laptop/phone/tablet) that requires a continuous power supply to stay here?,If you had a strict assignment deadline due tomorrow morning how would your behavior change?,If this space became significantly louder right now due to a social event what would you do?,How does rainy weather typically affect your choice to use the Open Area?,To what extent would the installation of ceiling/wall fans change your usage of the Open Area during warm periods?,Any suggestions to improve infrastructure of the area?,Other comments on the area if you have any?
2026/07/16 7:01:15 PM,UCSC,2nd Year,5+ days,2+ hours,Individual Academic Work,4,5,3,1,4,Availability of power plugs,"Yes, and I am currently plugged into a wall socket",I would continue working here if I can maintain focus,Stay here and try to tolerate the noise to finish my work,It doesn’t affect my usage; I still use it for the same activities,It would make my current stay more comfortable but it wouldn't change how long I stay or what I do,Fans,
2026/07/17 8:12:44 AM,UCSC,2nd Year,5+ days,2+ hours,Individual Academic Work,5,5,4,1,5,"Availability of power plugs, Wi-Fi/Signal strength","Yes, and I am currently plugged into a wall socket",I would continue working here if I can maintain focus,Stay here and try to tolerate the noise to finish my work,It doesn’t affect my usage; I still use it for the same activities,It would make my current stay more comfortable but it wouldn't change how long I stay or what I do,Fans,
2026/07/17 8:25:19 AM,UCSC,1st Year,3 - 4 days,1 - 2 hours,Collaborative Academic Work (Group),4,5,4,1,4,Large seating space,"Yes, but I am running on battery power",I would stay but move if it gets too distracting,Leave the Open Area entirely for another building (e.g. towards the FOS side elsewhere),I only use it to wait or seek shelter until the rain stops,It would make me choose this space instead of going elsewhere (e.g. the library or empty lecture rooms),Fans,
2026/07/17 8:35:00 AM,FOS,1st Year,1 - 2 days,Less than 30 mins,Casual Socializing / Chatting,4,4,4,2,4,To meet up with friends,No,I would immediately find another quiet space on campus (e.g. Library).,Stay here and switch to casual socializing/phone scrolling,I only use it to wait or seek shelter until the rain stops,It would not affect my usage of the space at all,Curtains/Rain Shields,
2026/07/17 8:48:12 AM,UCSC,1st Year,3 - 4 days,1 - 2 hours,Individual Academic Work,4,4,4,2,4,Proximity to faculty/lectures,"Yes, but I am running on battery power",I would continue working here if I can maintain focus,Stay here and try to tolerate the noise to finish my work,It doesn’t affect my usage; I still use it for the same activities,It would make my current stay more comfortable but it wouldn't change how long I stay or what I do,Fans,
2026/07/17 9:01:50 AM,Other,2nd Year,1 - 2 days,30 - 60 mins,Recreation (Gaming Social Media Relaxing),4,3,4,3,4,Atmosphere/Vibe,No,I would leave campus and go home to complete it,Stay here and switch to casual socializing/phone scrolling,I only use it to wait or seek shelter until the rain stops,It would not affect my usage of the space at all,Fans,
2026/07/17 9:15:33 AM,UCSC,2nd Year,5+ days,2+ hours,Individual Academic Work,4,3,4,3,4,Availability of power plugs,"Yes, and I am currently plugged into a wall socket",I would continue working here if I can maintain focus,Stay here and try to tolerate the noise to finish my work,It doesn’t affect my usage; I still use it for the same activities,It would make my current stay more comfortable but it wouldn't change how long I stay or what I do,Fans,
2026/07/17 9:30:44 AM,UCSC,1st Year,3 - 4 days,1 - 2 hours,Collaborative Academic Work (Group),3,3,4,3,3,Large seating space,"Yes, but I am running on battery power",I would stay but move if it gets too distracting,Leave the Open Area entirely for another building (e.g. towards the FOS side elsewhere),I only use it to wait or seek shelter until the rain stops,It would make me choose this space instead of going elsewhere (e.g. the library or empty lecture rooms),Fans,
2026/07/17 9:42:01 AM,FOS,2nd Year,1 - 2 days,Less than 30 mins,Casual Socializing / Chatting,3,2,4,4,3,To meet up with friends,No,I would immediately find another quiet space on campus (e.g. Library).,Stay here and switch to casual socializing/phone scrolling,I only use it to wait or seek shelter until the rain stops,It would not affect my usage of the space at all,Fans,
2026/07/17 9:55:18 AM,UCSC,1st Year,5+ days,2+ hours,Individual Academic Work,3,2,4,4,3,Availability of power plugs,"Yes, and I am currently plugged into a wall socket",I would stay but move if it gets too distracting,Leave the Open Area entirely for another building (e.g. towards the FOS side elsewhere),I avoid the Open Area entirely because of the dampness/splashing,It would significantly increase the time I spend here doing academic work.,Fans,
2026/07/17 10:10:30 AM,UCSC,2nd Year,3 - 4 days,1 - 2 hours,Collaborative Academic Work (Group),2,2,4,4,3,"Large seating space, To meet up with friends",No,I would stay but move if it gets too distracting,Stay here and switch to casual socializing/phone scrolling,I only use it to wait or seek shelter until the rain stops,It would make my current stay more comfortable but it wouldn't change how long I stay or what I do,Fans,
2026/07/17 10:25:45 AM,Arts,1st Year,3 - 4 days,30 - 60 mins,Casual Socializing / Chatting,2,2,4,4,3,To meet up with friends,No,I would leave campus and go home to complete it,Stay here and switch to casual socializing/phone scrolling,I only use it to wait or seek shelter until the rain stops,It would not affect my usage of the space at all,Curtains/Rain Shields,
2026/07/17 10:40:12 AM,FOS,2nd Year,1 - 2 days,Less than 30 mins,Recreation (Gaming Social Media Relaxing),2,2,4,5,2,Proximity to faculty/lectures,No,I would leave campus and go home to complete it,Stay here and switch to casual socializing/phone scrolling,I avoid the Open Area entirely because of the dampness/splashing,It would not affect my usage of the space at all,Fans,
2026/07/17 10:55:00 AM,UCSC,2nd Year,5+ days,1 - 2 hours,Collaborative Academic Work (Group),2,2,4,5,3,"Large seating space, Wi-Fi/Signal strength","Yes, but I am running on battery power",I would stay but move if it gets too distracting,Leave the Open Area entirely for another building (e.g. towards the FOS side elsewhere),I only use it to wait or seek shelter until the rain stops,It would make me choose this space instead of going elsewhere (e.g. the library or empty lecture rooms),Fans,
2026/07/17 11:10:22 AM,UCSC,1st Year,5+ days,2+ hours,Individual Academic Work,2,1,4,5,2,Availability of power plugs,"Yes, and I am currently plugged into a wall socket",I would immediately find another quiet space on campus (e.g. Library).,Leave the Open Area entirely for another building (e.g. towards the FOS side elsewhere),I avoid the Open Area entirely because of the dampness/splashing,It would significantly increase the time I spend here doing academic work.,Fans,
2026/07/17 11:25:35 AM,Other,1st Year,1 - 2 days,30 - 60 mins,Casual Socializing / Chatting,2,1,4,5,2,To meet up with friends,No,I would leave campus and go home to complete it,Stay here and switch to casual socializing/phone scrolling,I only use it to wait or seek shelter until the rain stops,It would not affect my usage of the space at all,Fans,
2026/07/17 11:40:11 AM,UCSC,2nd Year,3 - 4 days,1 - 2 hours,University Club Activity,2,1,4,5,2,To meet up with friends,No,I would stay but move if it gets too distracting,Stay here and switch to casual socializing/phone scrolling,I only use it to wait or seek shelter until the rain stops,It would make my current stay more comfortable but it wouldn't change how long I stay or what I do,Fans,
2026/07/17 11:55:04 AM,FOS,2nd Year,1 - 2 days,Less than 30 mins,Recreation (Gaming Social Media Relaxing),1,1,4,5,1,Proximity to faculty/lectures,No,I would immediately find another quiet space on campus (e.g. Library).,Stay here and switch to casual socializing/phone scrolling,I avoid the Open Area entirely because of the dampness/splashing,It would not affect my usage of the space at all,Curtains/Rain Shields,
2026/07/17 12:10:15 PM,UCSC,1st Year,3 - 4 days,30 - 60 mins,Casual Socializing / Chatting,1,1,4,5,2,To meet up with friends,No,I would leave campus and go home to complete it,Stay here and switch to casual socializing/phone scrolling,I only use it to wait or seek shelter until the rain stops,It would make my current stay more comfortable but it wouldn't change how long I stay or what I do,Fans,
2026/07/17 12:25:22 PM,UCSC,2nd Year,5+ days,2+ hours,Collaborative Academic Work (Group),1,1,4,5,2,Large seating space,"Yes, but I am running on battery power",I would immediately find another quiet space on campus (e.g. Library).,Leave the Open Area entirely for another building (e.g. towards the FOS side elsewhere),I avoid the Open Area entirely because of the dampness/splashing,It would significantly increase the time I spend here doing academic work.,Fans,
2026/07/17 12:40:41 PM,UCSC,1st Year,5+ days,1 - 2 hours,Individual Academic Work,1,1,4,5,2,Availability of power plugs,"Yes, and I am currently plugged into a wall socket",I would immediately find another quiet space on campus (e.g. Library).,Leave the Open Area entirely for another building (e.g. towards the FOS side elsewhere),I avoid the Open Area entirely because of the dampness/splashing,It would significantly increase the time I spend here doing academic work.,Fans,
2026/07/17 12:55:19 PM,Other,2nd Year,1 - 2 days,Less than 30 mins,Casual Socializing / Chatting,2,2,4,5,2,Proximity to faculty/lectures,No,I would leave campus and go home to complete it,Stay here and switch to casual socializing/phone scrolling,I only use it to wait or seek shelter until the rain stops,It would not affect my usage of the space at all,Curtains/Rain Shields,
2026/07/17 1:10:05 PM,UCSC,1st Year,3 - 4 days,30 - 60 mins,Recreation (Gaming Social Media Relaxing),2,1,4,4,2,Atmosphere/Vibe,No,I would stay but move if it gets too distracting,Stay here and switch to casual socializing/phone scrolling,I only use it to wait or seek shelter until the rain stops,It would make my current stay more comfortable but it wouldn't change how long I stay or what I do,Fans,
2026/07/17 1:25:44 PM,UCSC,2nd Year,5+ days,1 - 2 hours,Collaborative Academic Work (Group),2,2,4,4,3,Large seating space,"Yes, but I am running on battery power",I would stay but move if it gets too distracting,Leave the Open Area entirely for another building (e.g. towards the FOS side elsewhere),I only use it to wait or seek shelter until the rain stops,It would make me choose this space instead of going elsewhere (e.g. the library or empty lecture rooms),Fans,
2026/07/17 1:40:19 PM,FOS,1st Year,1 - 2 days,Less than 30 mins,Casual Socializing / Chatting,2,2,4,4,3,To meet up with friends,No,I would immediately find another quiet space on campus (e.g. Library).,Stay here and switch to casual socializing/phone scrolling,I only use it to wait or seek shelter until the rain stops,It would not affect my usage of the space at all,Fans,
2026/07/17 1:55:01 PM,UCSC,2nd Year,5+ days,2+ hours,Individual Academic Work,2,2,4,4,3,Availability of power plugs,"Yes, and I am currently plugged into a wall socket",I would stay but move if it gets too distracting,Stay here and try to tolerate the noise to finish my work,I only use it to wait or seek shelter until the rain stops,It would significantly increase the time I spend here doing academic work.,Fans,
2026/07/17 2:10:33 PM,UCSC,1st Year,3 - 4 days,1 - 2 hours,Collaborative Academic Work (Group),3,2,4,3,3,"Large seating space, Wi-Fi/Signal strength","Yes, but I am running on battery power",I would stay but move if it gets too distracting,Leave the Open Area entirely for another building (e.g. towards the FOS side elsewhere),I only use it to wait or seek shelter until the rain stops,It would make me choose this space instead of going elsewhere (e.g. the library or empty lecture rooms),Fans,
2026/07/18 09:15:00 AM,UCSC,3rd Year,3 - 4 days,1 - 2 hours,Individual Academic Work,4,4,4,2,4,"Availability of power plugs, Wi-Fi/Signal strength","Yes, and I am currently plugged into a wall socket",I would continue working here if I can maintain focus,Stay here and try to tolerate the noise to finish my work,It doesn’t affect my usage; I still use it for the same activities,It would make my current stay more comfortable but it wouldn't change how long I stay or what I do,Fans,Minor representation row 1
2026/07/18 09:35:12 AM,UCSC,3rd Year,5+ days,2+ hours,Individual Academic Work,4,4,4,2,4,Availability of power plugs,"Yes, and I am currently plugged into a wall socket",I would stay but move if it gets too distracting,Leave the Open Area entirely for another building (e.g. towards the FOS side elsewhere),I avoid the Open Area entirely because of the dampness/splashing,It would significantly increase the time I spend here doing academic work.,Fans,
2026/07/18 10:12:40 AM,FOS,3rd Year,1 - 2 days,30 - 60 mins,Casual Socializing / Chatting,3,3,4,3,3,To meet up with friends,No,I would immediately find another quiet space on campus (e.g. Library).,Stay here and switch to casual socializing/phone scrolling,I only use it to wait or seek shelter until the rain stops,It would not affect my usage of the space at all,Fans,Minor representation row 2
7/8/2026 18:15:12,UCSC,3rd Year,1 - 2 days,30 - 60 mins,Casual Socializing / Chatting,5,3,4,3,4,"Availability of power plugs, To meet up with friends",No,I would continue working here if I can maintain focus,Stay here and switch to casual socializing/phone scrolling,I avoid the Open Area entirely because of the dampness/splashing,"It would make my current stay more comfortable, but it wouldn't change how long I stay or what I do",Fans,
7/8/2026 19:04:41,UCSC,3rd Year,1 - 2 days,Less than 30 mins,Casual Socializing / Chatting,3,2,5,2,5,Availability of power plugs,"Yes, but I am running on battery power","I would immediately find another quiet space on campus (e.g., Library).",Stay here and try to tolerate the noise to finish my work,It doesn’t affect my usage; I still use it for the same activities,"It would make me choose this space instead of going elsewhere (e.g., the library or empty lecture rooms)",Fans,
7/8/2026 19:34:22,UCSC,3rd Year,1 - 2 days,Less than 30 mins,Casual Socializing / Chatting,2,1,2,3,1,To meet up with friends,No,"I would immediately find another quiet space on campus (e.g., Library).","Leave the Open Area entirely for another building (e.g., towards the FOS side elsewhere)",I avoid the Open Area entirely because of the dampness/splashing,It would not affect my usage of the space at all,The environment should be more private in my opinion,
7/13/2026 8:13:12,FOS,2nd Year,1 - 2 days,30 - 60 mins,"Individual Academic Work, Collaborative Academic Work (Group), Casual Socializing / Chatting",3,2,4,4,4,Large seating space,"Yes, and I am currently plugged into a wall socket","I would stay, but move if it gets too distracting","Leave the Open Area entirely for another building (e.g., towards the FOS side elsewhere)",It doesn’t affect my usage; I still use it for the same activities,"It would make my current stay more comfortable, but it wouldn't change how long I stay or what I do",Fans,
7/13/2026 8:20:47,FOS,2nd Year,5+ days,2+ hours,"Individual Academic Work, Casual Socializing / Chatting",1,3,1,1,2,"Availability of power plugs, Large seating space","Yes, but I am running on battery power",I would continue working here if I can maintain focus,"Leave the Open Area entirely for another building (e.g., towards the FOS side elsewhere)",I only use it to wait or seek shelter until the rain stops,It would significantly increase the time I spend here doing academic work.,Fans,
7/13/2026 8:21:08,FOS,2nd Year,5+ days,2+ hours,Individual Academic Work,1,1,2,2,1,"Availability of power plugs, Atmosphere/Vibe, To meet up with friends","Yes, and I am currently plugged into a wall socket",I would continue working here if I can maintain focus,"Leave the Open Area entirely for another building (e.g., towards the FOS side elsewhere)",I avoid the Open Area entirely because of the dampness/splashing,It would significantly increase the time I spend here doing academic work.,Fans,Give wifi connection and fans 
7/13/2026 8:23:06,FOS,2nd Year,3 - 4 days,1 - 2 hours,Individual Academic Work,3,2,4,3,3,"Availability of power plugs, Wi-Fi/Signal strength, Atmosphere/Vibe",No,I would continue working here if I can maintain focus,"Leave the Open Area entirely for another building (e.g., towards the FOS side elsewhere)",I only use it to wait or seek shelter until the rain stops,"It would make me choose this space instead of going elsewhere (e.g., the library or empty lecture rooms)",Fans,
7/13/2026 8:49:09,UCSC,2nd Year,3 - 4 days,Less than 30 mins,Casual Socializing / Chatting,2,3,2,2,3,"Proximity to faculty/lectures, Large seating space, Atmosphere/Vibe, To meet up with friends","Yes, and I am currently plugged into a wall socket","I would immediately find another quiet space on campus (e.g., Library).",Stay here and switch to casual socializing/phone scrolling,I only use it to wait or seek shelter until the rain stops,It would significantly increase the time I spend here doing academic work.,Curtains/Rain Shields,"Need fans , curtains and rain shields also."
7/13/2026 9:12:34,UCSC,2nd Year,1 - 2 days,30 - 60 mins,"Collaborative Academic Work (Group), Casual Socializing / Chatting, Recreation (Gaming, Social Media, Relaxing)",1,4,4,4,4,To meet up with friends,"Yes, and I am currently plugged into a wall socket",I would continue working here if I can maintain focus,"Leave the Open Area entirely for another building (e.g., towards the FOS side elsewhere)",It doesn’t affect my usage; I still use it for the same activities,"It would make my current stay more comfortable, but it wouldn't change how long I stay or what I do",Fans,"If they change the chair as, backbone supported chair, then it would be more comfortable and help to maintain back alignment. "
7/13/2026 9:17:33,UCSC,2nd Year,3 - 4 days,Less than 30 mins,"Casual Socializing / Chatting, Recreation (Gaming, Social Media, Relaxing)",1,1,3,1,5,"Availability of power plugs, To meet up with friends",No,"I would immediately find another quiet space on campus (e.g., Library).",Stay here and switch to casual socializing/phone scrolling,It doesn’t affect my usage; I still use it for the same activities,It would significantly increase the time I spend here doing academic work.,"Install ceiling/wall fans and curtains/rain shields. Also, replace the current chairs with chairs that have backrests. The current chairs are uncomfortable for sitting for long periods for studying and can cause back pain.",
7/13/2026 9:31:10,UCSC,2nd Year,5+ days,30 - 60 mins,"Collaborative Academic Work (Group), Casual Socializing / Chatting, Recreation (Gaming, Social Media, Relaxing)",2,2,3,2,2,"Availability of power plugs, To meet up with friends","Yes, and I am currently plugged into a wall socket","I would immediately find another quiet space on campus (e.g., Library).","Leave the Open Area entirely for another building (e.g., towards the FOS side elsewhere)",I only use it to wait or seek shelter until the rain stops,"It would make my current stay more comfortable, but it wouldn't change how long I stay or what I do",Fans,
7/13/2026 9:39:24,UCSC,3rd Year,1 - 2 days,Less than 30 mins,"Individual Academic Work, Casual Socializing / Chatting",5,5,4,5,3,"Large seating space, To meet up with friends","Yes, but I am running on battery power",I would leave campus and go home to complete it,"Leave the Open Area entirely for another building (e.g., towards the FOS side elsewhere)",I only use it to wait or seek shelter until the rain stops,It would significantly increase the time I spend here doing academic work.,Fans,
7/13/2026 10:59:06,UCSC,3rd Year,1 - 2 days,Less than 30 mins,Collaborative Academic Work (Group),1,2,2,2,2,"Availability of power plugs, To meet up with friends","Yes, but I am running on battery power",I would leave campus and go home to complete it,"Leave the Open Area entirely for another building (e.g., towards the FOS side elsewhere)",I only use it to wait or seek shelter until the rain stops,"It would make me choose this space instead of going elsewhere (e.g., the library or empty lecture rooms)",Fans,
7/13/2026 11:41:00,UCSC,2nd Year,5+ days,1 - 2 hours,"Individual Academic Work, Casual Socializing / Chatting, Recreation (Gaming, Social Media, Relaxing)",2,3,4,4,4,"Proximity to faculty/lectures, Availability of power plugs, Wi-Fi/Signal strength","Yes, and I am currently plugged into a wall socket","I would immediately find another quiet space on campus (e.g., Library).","Leave the Open Area entirely for another building (e.g., towards the FOS side elsewhere)",It doesn’t affect my usage; I still use it for the same activities,"It would make my current stay more comfortable, but it wouldn't change how long I stay or what I do",Fans,
7/13/2026 13:13:11,UCSC,3rd Year,1 - 2 days,Less than 30 mins,Casual Socializing / Chatting,1,2,3,2,2,To meet up with friends,No,"I would immediately find another quiet space on campus (e.g., Library).","Leave the Open Area entirely for another building (e.g., towards the FOS side elsewhere)",I avoid the Open Area entirely because of the dampness/splashing,"It would make my current stay more comfortable, but it wouldn't change how long I stay or what I do",Fans,
7/13/2026 20:27:19,UCSC,3rd Year,1 - 2 days,Less than 30 mins,"Individual Academic Work, Casual Socializing / Chatting, Recreation (Gaming, Social Media, Relaxing)",3,3,3,4,5,"Availability of power plugs, Wi-Fi/Signal strength",No,"I would immediately find another quiet space on campus (e.g., Library).","Leave the Open Area entirely for another building (e.g., towards the FOS side elsewhere)",I only use it to wait or seek shelter until the rain stops,"It would make me choose this space instead of going elsewhere (e.g., the library or empty lecture rooms)",Fans,
7/14/2026 11:34:07,UCSC,3rd Year,1 - 2 days,Less than 30 mins,Collaborative Academic Work (Group),1,2,2,3,3,To meet up with friends,No,"I would immediately find another quiet space on campus (e.g., Library).","Leave the Open Area entirely for another building (e.g., towards the FOS side elsewhere)",I only use it to wait or seek shelter until the rain stops,It would significantly increase the time I spend here doing academic work.,Fans,improve the furniture quality 
